Sub-Category,Total Sales Volume,YoY Growth Rate (%),Sales Volatility,Avg Order Value,Cluster,Cluster Label,PC1,PC2
Accessories,164186.7,34.820238203328515,2579.9948090711305,217.17817460317463,2,"High Volume, High Volatility",0.23233131959015937,0.4275994381486513
Appliances,104618.403,38.42502031931825,1821.6215390281989,227.92680392156865,1,"Low Volume, Stable Demand",-0.28009269815767723,0.9561220590074055
Art,26705.41,14.38220221941069,330.4883427284576,34.019630573248406,1,"Low Volume, Stable Demand",-1.6933398052582576,0.429441028831905
Binders,200028.785,18.352160281574626,3848.2236478754903,134.0675502680965,2,"High Volume, High Volatility",0.5770682042677273,-0.585287127313454
Bookcases,113813.1987,14.432388354341242,2220.405079725175,503.5982243362832,1,"Low Volume, Stable Demand",-0.1432386349913319,0.02509027360068278
Chairs,322822.73099999997,6.546917388427631,4407.23295981141,531.8331647446457,2,"High Volume, High Volatility",1.6070273683225031,-1.5594178317638945
Copiers,146248.094,79.64224309582669,5500.774390527093,2215.8802121212125,0,Growing Demand (High Volume),3.6296749911397264,2.9960317090294604
Envelopes,16128.046,-4.215669531222199,228.21868781596007,65.03244354838709,1,"Low Volume, Stable Demand",-1.9931682733907905,-0.2478844944133512
Fasteners,3001.96,9.270200162707676,48.74222863268981,14.02785046728972,1,"Low Volume, Stable Demand",-1.9968785146599484,0.3604621844190902
Furnishings,89212.018,27.40925872273565,1360.0178672616057,95.82386466165413,1,"Low Volume, Stable Demand",-0.787307469561075,0.5696530474997109
Labels,12347.726,10.813086097071212,223.47121839221342,34.587467787114846,1,"Low Volume, Stable Demand",-1.8486139694063493,0.3682788812063464
Machines,189238.631,-11.122214664455631,5603.5547467397955,1645.5533130434783,3,Declining Demand (High Volume),2.1816235377029654,-1.1884968674598917
Paper,76828.304,24.268143912084582,1024.8249818349855,57.42025710014948,1,"Low Volume, Stable Demand",-1.0455191915640532,0.519461545528615
Phones,327782.448,10.672902013362418,4052.7182205208205,374.1808767123287,2,"High Volume, High Volatility",1.410672781528977,-1.4568845580622556
Storage,219343.392,11.431995662703965,2822.0843101166624,263.6338846153846,2,"High Volume, High Volatility",0.3359438592331073,-0.8058844214898667
Supplies,46420.308,3.6256382385588815,2025.094138915901,252.28428260869563,1,"Low Volume, Stable Demand",-0.9216138482243915,-0.1688159334448169
Tables,202810.628,9.993943490652235,3224.0825044607163,645.8937197452229,2,"High Volume, High Volatility",0.7354303434287078,-0.6394689333243375
