Segment,Month,Value,Type
Overall,2015-01-01,14205.707,Actual
Overall,2015-02-01,4519.892,Actual
Overall,2015-03-01,55205.797,Actual
Overall,2015-04-01,27906.855,Actual
Overall,2015-05-01,23644.303,Actual
Overall,2015-06-01,34322.9356,Actual
Overall,2015-07-01,33781.543,Actual
Overall,2015-08-01,27117.5365,Actual
Overall,2015-09-01,81623.5268,Actual
Overall,2015-10-01,31453.393,Actual
Overall,2015-11-01,77907.6607,Actual
Overall,2015-12-01,68167.0585,Actual
Overall,2016-01-01,18066.9576,Actual
Overall,2016-02-01,11951.411,Actual
Overall,2016-03-01,32339.3184,Actual
Overall,2016-04-01,34154.4685,Actual
Overall,2016-05-01,29959.5305,Actual
Overall,2016-06-01,23599.374,Actual
Overall,2016-07-01,28608.259,Actual
Overall,2016-08-01,36818.3422,Actual
Overall,2016-09-01,63133.606,Actual
Overall,2016-10-01,31011.7375,Actual
Overall,2016-11-01,75249.3995,Actual
Overall,2016-12-01,74543.6012,Actual
Overall,2017-01-01,18542.490999999998,Actual
Overall,2017-02-01,22978.815,Actual
Overall,2017-03-01,51165.059,Actual
Overall,2017-04-01,38679.767,Actual
Overall,2017-05-01,56656.908,Actual
Overall,2017-06-01,39724.486,Actual
Overall,2017-07-01,38320.783,Actual
Overall,2017-08-01,30542.2003,Actual
Overall,2017-09-01,69193.3909,Actual
Overall,2017-10-01,59583.033,Actual
Overall,2017-11-01,79066.4958,Actual
Overall,2017-12-01,95739.121,Actual
Overall,2018-01-01,43476.474,Actual
Overall,2018-02-01,19920.9974,Actual
Overall,2018-03-01,58863.4128,Actual
Overall,2018-04-01,35541.9101,Actual
Overall,2018-05-01,43825.9822,Actual
Overall,2018-06-01,48190.7277,Actual
Overall,2018-07-01,44825.104,Actual
Overall,2018-08-01,62837.848,Actual
Overall,2018-09-01,86152.88799999999,Actual
Overall,2018-10-01,77448.1312,Actual
Overall,2018-11-01,117938.155,Actual
Overall,2018-12-01,83030.3888,Actual
Overall,2019-01-01,38189.99856439646,Forecast
Overall,2019-02-01,24500.46232695166,Forecast
Overall,2019-03-01,73660.16716261572,Forecast
Furniture (Category),2015-01-01,6217.277,Actual
Furniture (Category),2015-02-01,1839.658,Actual
Furniture (Category),2015-03-01,14243.367999999999,Actual
